"","Area_Name","Area_Code","Area_Type","Sex","Age_group","Age_band_type","Year","Population","Data_type","Annual_change","Percentage"
"91","Chichester","E07000225","District","Female","70-74 years","5 years","2001",3278,"Estimates - ONS",0,0.0583658280362516
"92","Chichester","E07000225","District","Female","75-79 years","5 years","2001",2993,"Estimates - ONS",0,0.0532913127859979
"93","Chichester","E07000225","District","Female","80-84 years","5 years","2001",2276,"Estimates - ONS",0,0.0405249007353596
"94","Chichester","E07000225","District","Female","85-89 years","5 years","2001",1540,"Estimates - ONS",0,0.0274201876680377
"95","Chichester","E07000225","District","Female","90+ years","5 years","2001",953,"Estimates - ONS",0,0.0169684667841818
"96","Chichester","E07000225","District","Male","0-4 years","5 years","2001",2704,"Estimates - ONS",0,0.0537243448371779
"97","Chichester","E07000225","District","Male","10-14 years","5 years","2001",3185,"Estimates - ONS",0,0.0632810792553297
"98","Chichester","E07000225","District","Male","15-19 years","5 years","2001",3077,"Estimates - ONS",0,0.0611352844171584
"99","Chichester","E07000225","District","Male","20-24 years","5 years","2001",2517,"Estimates - ONS",0,0.0500089408118257
"100","Chichester","E07000225","District","Male","25-29 years","5 years","2001",2379,"Estimates - ONS",0,0.0472670918519402
"101","Chichester","E07000225","District","Male","30-34 years","5 years","2001",2763,"Estimates - ONS",0,0.0548965846098826
"102","Chichester","E07000225","District","Male","35-39 years","5 years","2001",3458,"Estimates - ONS",0,0.0687051717629294
"103","Chichester","E07000225","District","Male","40-44 years","5 years","2001",3355,"Estimates - ONS",0,0.0666587192783771
"104","Chichester","E07000225","District","Male","45-49 years","5 years","2001",3401,"Estimates - ONS",0,0.0675726689316723
"105","Chichester","E07000225","District","Male","5-9 years","5 years","2001",3156,"Estimates - ONS",0,0.0627048936043393
"106","Chichester","E07000225","District","Male","50-54 years","5 years","2001",3744,"Estimates - ONS",0,0.0743875543899386
"107","Chichester","E07000225","District","Male","55-59 years","5 years","2001",3429,"Estimates - ONS",0,0.068128986111939
"108","Chichester","E07000225","District","Male","60-64 years","5 years","2001",3022,"Estimates - ONS",0,0.060042518527349
"109","Chichester","E07000225","District","Male","65-69 years","5 years","2001",2874,"Estimates - ONS",0,0.0571019848602253
"110","Chichester","E07000225","District","Male","70-74 years","5 years","2001",2659,"Estimates - ONS",0,0.0528302636546065
"111","Chichester","E07000225","District","Male","75-79 years","5 years","2001",2147,"Estimates - ONS",0,0.0426576066440166
"112","Chichester","E07000225","District","Male","80-84 years","5 years","2001",1417,"Estimates - ONS",0,0.0281536230156365
"113","Chichester","E07000225","District","Male","85-89 years","5 years","2001",743,"Estimates - ONS",0,0.0147622737477896
"114","Chichester","E07000225","District","Male","90+ years","5 years","2001",301,"Estimates - ONS",0,0.00598040968786632
"115","Crawley","E07000226","District","Female","0-4 years","5 years","2001",3333,"Estimates - ONS",0,0.0655921596410438
"116","Crawley","E07000226","District","Female","10-14 years","5 years","2001",3270,"Estimates - ONS",0,0.0643523438422482
"117","Crawley","E07000226","District","Female","15-19 years","5 years","2001",2881,"Estimates - ONS",0,0.0566969732750817
"118","Crawley","E07000226","District","Female","20-24 years","5 years","2001",3436,"Estimates - ONS",0,0.0676191600739953
"119","Crawley","E07000226","District","Female","25-29 years","5 years","2001",4009,"Estimates - ONS",0,0.0788955799582792
"120","Crawley","E07000226","District","Female","30-34 years","5 years","2001",4445,"Estimates - ONS",0,0.087475892470579
"121","Crawley","E07000226","District","Female","35-39 years","5 years","2001",3931,"Estimates - ONS",0,0.0773605699216751
"122","Crawley","E07000226","District","Female","40-44 years","5 years","2001",3620,"Estimates - ONS",0,0.0712402093911127
"123","Crawley","E07000226","District","Female","45-49 years","5 years","2001",3349,"Estimates - ONS",0,0.0659070334947062
"124","Crawley","E07000226","District","Female","5-9 years","5 years","2001",3309,"Estimates - ONS",0,0.0651198488605502
"125","Crawley","E07000226","District","Female","50-54 years","5 years","2001",3005,"Estimates - ONS",0,0.0591372456409651
"126","Crawley","E07000226","District","Female","55-59 years","5 years","2001",2221,"Estimates - ONS",0,0.0437084268115086
"127","Crawley","E07000226","District","Female","60-64 years","5 years","2001",1912,"Estimates - ONS",0,0.037627425512654
"128","Crawley","E07000226","District","Female","65-69 years","5 years","2001",2197,"Estimates - ONS",0,0.0432361160310151
"129","Crawley","E07000226","District","Female","70-74 years","5 years","2001",2126,"Estimates - ONS",0,0.0418388633053883
"130","Crawley","E07000226","District","Female","75-79 years","5 years","2001",1782,"Estimates - ONS",0,0.0350690754516472
"131","Crawley","E07000226","District","Female","80-84 years","5 years","2001",1132,"Estimates - ONS",0,0.0222773251466131
"132","Crawley","E07000226","District","Female","85-89 years","5 years","2001",571,"Estimates - ONS",0,0.0112370606525761
"133","Crawley","E07000226","District","Female","90+ years","5 years","2001",285,"Estimates - ONS",0,0.00560869051836108
"134","Crawley","E07000226","District","Male","0-4 years","5 years","2001",3377,"Estimates - ONS",0,0.0680490065691371
"135","Crawley","E07000226","District","Male","10-14 years","5 years","2001",3199,"Estimates - ONS",0,0.0644621770845928
"136","Crawley","E07000226","District","Male","15-19 years","5 years","2001",3127,"Estimates - ONS",0,0.063011324708822
"137","Crawley","E07000226","District","Male","20-24 years","5 years","2001",3105,"Estimates - ONS",0,0.0625680087051143
"138","Crawley","E07000226","District","Male","25-29 years","5 years","2001",3800,"Estimates - ONS",0,0.0765727642767904
"139","Crawley","E07000226","District","Male","30-34 years","5 years","2001",4542,"Estimates - ONS",0,0.0915246040382058
"140","Crawley","E07000226","District","Male","35-39 years","5 years","2001",4397,"Estimates - ONS",0,0.088602748559223
"141","Crawley","E07000226","District","Male","40-44 years","5 years","2001",3761,"Estimates - ONS",0,0.0757868859065812
"142","Crawley","E07000226","District","Male","45-49 years","5 years","2001",3304,"Estimates - ONS",0,0.0665780034659251
"143","Crawley","E07000226","District","Male","5-9 years","5 years","2001",3480,"Estimates - ONS",0,0.070124531495587
"144","Crawley","E07000226","District","Male","50-54 years","5 years","2001",3065,"Estimates - ONS",0,0.0617619796074638
"145","Crawley","E07000226","District","Male","55-59 years","5 years","2001",2174,"Estimates - ONS",0,0.0438076814573006
"146","Crawley","E07000226","District","Male","60-64 years","5 years","2001",1748,"Estimates - ONS",0,0.0352234715673236
"147","Crawley","E07000226","District","Male","65-69 years","5 years","2001",1919,"Estimates - ONS",0,0.0386692459597791
"148","Crawley","E07000226","District","Male","70-74 years","5 years","2001",1742,"Estimates - ONS",0,0.035102567202676
"149","Crawley","E07000226","District","Male","75-79 years","5 years","2001",1430,"Estimates - ONS",0,0.0288155402410027
"150","Crawley","E07000226","District","Male","80-84 years","5 years","2001",955,"Estimates - ONS",0,0.0192439447064039
"151","Crawley","E07000226","District","Male","85-89 years","5 years","2001",403,"Estimates - ONS",0,0.00812074315882803
"152","Crawley","E07000226","District","Male","90+ years","5 years","2001",98,"Estimates - ONS",0,0.00197477128924354
"153","England","E92000001","Country","Female","0-4 years","5 years","2001",1427118,"Estimates - ONS",0,0.056443166648335
"154","England","E92000001","Country","Female","10-14 years","5 years","2001",1579731,"Estimates - ONS",0,0.0624790802810566
"155","England","E92000001","Country","Female","15-19 years","5 years","2001",1486534,"Estimates - ONS",0,0.05879309649967
"156","England","E92000001","Country","Female","20-24 years","5 years","2001",1492256,"Estimates - ONS",0,0.0590194042048225
"157","England","E92000001","Country","Female","25-29 years","5 years","2001",1660133,"Estimates - ONS",0,0.0656590159870455
"158","England","E92000001","Country","Female","30-34 years","5 years","2001",1930829,"Estimates - ONS",0,0.076365166031427
"159","England","E92000001","Country","Female","35-39 years","5 years","2001",1973428,"Estimates - ONS",0,0.0780499758761998
"160","England","E92000001","Country","Female","40-44 years","5 years","2001",1752951,"Estimates - ONS",0,0.0693300101458783
"161","England","E92000001","Country","Female","45-49 years","5 years","2001",1576233,"Estimates - ONS",0,0.0623407327884625
"162","England","E92000001","Country","Female","5-9 years","5 years","2001",1521793,"Estimates - ONS",0,0.0601876060026359
"163","England","E92000001","Country","Female","50-54 years","5 years","2001",1696665,"Estimates - ONS",0,0.0671038732195918
"164","England","E92000001","Country","Female","55-59 years","5 years","2001",1429480,"Estimates - ONS",0,0.056536584823723
"165","England","E92000001","Country","Female","60-64 years","5 years","2001",1219150,"Estimates - ONS",0,0.0482179375631992
"166","England","E92000001","Country","Female","65-69 years","5 years","2001",1121736,"Estimates - ONS",0,0.0443651695118671
"167","England","E92000001","Country","Female","70-74 years","5 years","2001",1063386,"Estimates - ONS",0,0.0420574004458681
"168","England","E92000001","Country","Female","75-79 years","5 years","2001",956586,"Estimates - ONS",0,0.0378334118212119
"169","England","E92000001","Country","Female","80-84 years","5 years","2001",704340,"Estimates - ONS",0,0.0278569676768763
"170","England","E92000001","Country","Female","85-89 years","5 years","2001",444059,"Estimates - ONS",0,0.0175627356243093
"171","England","E92000001","Country","Female","90+ years","5 years","2001",247751,"Estimates - ONS",0,0.00979866484782033
"172","England","E92000001","Country","Male","0-4 years","5 years","2001",1496721,"Estimates - ONS",0,0.0619360498050389
"173","England","E92000001","Country","Male","10-14 years","5 years","2001",1658330,"Estimates - ONS",0,0.06862361754341
"174","England","E92000001","Country","Male","15-19 years","5 years","2001",1558466,"Estimates - ONS",0,0.0644911294726671
"175","England","E92000001","Country","Male","20-24 years","5 years","2001",1494328,"Estimates - ONS",0,0.0618370246913514
"176","England","E92000001","Country","Male","25-29 years","5 years","2001",1660335,"Estimates - ONS",0,0.068706586767373
"177","England","E92000001","Country","Male","30-34 years","5 years","2001",1919733,"Estimates - ONS",0,0.0794407766713881
"178","England","E92000001","Country","Male","35-39 years","5 years","2001",1945544,"Estimates - ONS",0,0.0805088657684996
"179","England","E92000001","Country","Male","40-44 years","5 years","2001",1734962,"Estimates - ONS",0,0.0717947385263184
"180","England","E92000001","Country","Male","45-49 years","5 years","2001",1552734,"Estimates - ONS",0,0.0642539326687988
"181","England","E92000001","Country","Male","5-9 years","5 years","2001",1598995,"Estimates - ONS",0,0.0661682664691737
"182","England","E92000001","Country","Male","50-54 years","5 years","2001",1668158,"Estimates - ONS",0,0.0690303115748854
"183","England","E92000001","Country","Male","55-59 years","5 years","2001",1403304,"Estimates - ONS",0,0.0580703460669091
"184","England","E92000001","Country","Male","60-64 years","5 years","2001",1176309,"Estimates - ONS",0,0.0486770298606858
"185","England","E92000001","Country","Male","65-69 years","5 years","2001",1038360,"Estimates - ONS",0,0.042968540346237
"186","England","E92000001","Country","Male","70-74 years","5 years","2001",889518,"Estimates - ONS",0,0.0368092858658885
"187","England","E92000001","Country","Male","75-79 years","5 years","2001",688141,"Estimates - ONS",0,0.0284760721930736
"188","England","E92000001","Country","Male","80-84 years","5 years","2001",414616,"Estimates - ONS",0,0.0171572906546818
"189","England","E92000001","Country","Male","85-89 years","5 years","2001",194217,"Estimates - ONS",0,0.0080369245737751
"190","England","E92000001","Country","Male","90+ years","5 years","2001",72816,"Estimates - ONS",0,0.00301321047984475
"191","Horsham","E07000227","District","Female","0-4 years","5 years","2001",3546,"Estimates - ONS",0,0.0563949235026559
"192","Horsham","E07000227","District","Female","10-14 years","5 years","2001",4082,"Estimates - ONS",0,0.0649193676643659
"193","Horsham","E07000227","District","Female","15-19 years","5 years","2001",3384,"Estimates - ONS",0,0.0538185056776615
"194","Horsham","E07000227","District","Female","20-24 years","5 years","2001",2501,"Estimates - ONS",0,0.0397754381500684
"195","Horsham","E07000227","District","Female","25-29 years","5 years","2001",3126,"Estimates - ONS",0,0.0497153217341519
"196","Horsham","E07000227","District","Female","30-34 years","5 years","2001",4428,"Estimates - ONS",0,0.0704220872165145
"197","Horsham","E07000227","District","Female","35-39 years","5 years","2001",5262,"Estimates - ONS",0,0.0836858678711155
"198","Horsham","E07000227","District","Female","40-44 years","5 years","2001",4724,"Estimates - ONS",0,0.0751296160819365
"199","Horsham","E07000227","District","Female","45-49 years","5 years","2001",4419,"Estimates - ONS",0,0.0702789528929037
"200","Horsham","E07000227","District","Female","5-9 years","5 years","2001",3854,"Estimates - ONS",0,0.0612932981328923
"201","Horsham","E07000227","District","Female","50-54 years","5 years","2001",4697,"Estimates - ONS",0,0.074700213111104
"202","Horsham","E07000227","District","Female","55-59 years","5 years","2001",3944,"Estimates - ONS",0,0.0627246413690003
"203","Horsham","E07000227","District","Female","60-64 years","5 years","2001",3091,"Estimates - ONS",0,0.0491586882534432
"204","Horsham","E07000227","District","Female","65-69 years","5 years","2001",2872,"Estimates - ONS",0,0.0456757530455803
"205","Horsham","E07000227","District","Female","70-74 years","5 years","2001",2667,"Estimates - ONS",0,0.042415471230001
"206","Horsham","E07000227","District","Female","75-79 years","5 years","2001",2438,"Estimates - ONS",0,0.0387734978847928
"207","Horsham","E07000227","District","Female","80-84 years","5 years","2001",1846,"Estimates - ONS",0,0.0293584401539489
"208","Horsham","E07000227","District","Female","85-89 years","5 years","2001",1242,"Estimates - ONS",0,0.0197525366582907
"209","Horsham","E07000227","District","Female","90+ years","5 years","2001",755,"Estimates - ONS",0,0.0120073793695728
"210","Horsham","E07000227","District","Male","0-4 years","5 years","2001",3719,"Estimates - ONS",0,0.0626157524329057
"211","Horsham","E07000227","District","Male","10-14 years","5 years","2001",4248,"Estimates - ONS",0,0.0715223759975755
"212","Horsham","E07000227","District","Male","15-19 years","5 years","2001",3649,"Estimates - ONS",0,0.0614371822069569
"213","Horsham","E07000227","District","Male","20-24 years","5 years","2001",2510,"Estimates - ONS",0,0.0422601609590194
"214","Horsham","E07000227","District","Male","25-29 years","5 years","2001",2896,"Estimates - ONS",0,0.0487591339192511
"215","Horsham","E07000227","District","Male","30-34 years","5 years","2001",3964,"Estimates - ONS",0,0.0667407482237263
"216","Horsham","E07000227","District","Male","35-39 years","5 years","2001",5020,"Estimates - ONS",0,0.0845203219180389
"217","Horsham","E07000227","District","Male","40-44 years","5 years","2001",4830,"Estimates - ONS",0,0.0813213455904637
"218","Horsham","E07000227","District","Male","45-49 years","5 years","2001",4345,"Estimates - ONS",0,0.0731555375963902
"219","Horsham","E07000227","District","Male","5-9 years","5 years","2001",4171,"Estimates - ONS",0,0.0702259487490319
"220","Horsham","E07000227","District","Male","50-54 years","5 years","2001",4712,"Estimates - ONS",0,0.0793346129238644
"221","Horsham","E07000227","District","Male","55-59 years","5 years","2001",3703,"Estimates - ONS",0,0.0623463649526888
"222","Horsham","E07000227","District","Male","60-64 years","5 years","2001",2937,"Estimates - ONS",0,0.0494494393373068
"223","Horsham","E07000227","District","Male","65-69 years","5 years","2001",2655,"Estimates - ONS",0,0.0447014849984847
"224","Horsham","E07000227","District","Male","70-74 years","5 years","2001",2272,"Estimates - ONS",0,0.0382530221907937
"225","Horsham","E07000227","District","Male","75-79 years","5 years","2001",1800,"Estimates - ONS",0,0.0303060915243964
"226","Horsham","E07000227","District","Male","80-84 years","5 years","2001",1096,"Estimates - ONS",0,0.0184530423948547
"227","Horsham","E07000227","District","Male","85-89 years","5 years","2001",592,"Estimates - ONS",0,0.00996733676802371
"228","Horsham","E07000227","District","Male","90+ years","5 years","2001",275,"Estimates - ONS",0,0.00463009731622723
"229","Mid Sussex","E07000228","District","Female","0-4 years","5 years","2001",3674,"Estimates - ONS",0,0.055971115613717
"230","Mid Sussex","E07000228","District","Female","10-14 years","5 years","2001",3976,"Estimates - ONS",0,0.0605718986608979
"231","Mid Sussex","E07000228","District","Female","15-19 years","5 years","2001",3587,"Estimates - ONS",0,0.0546457244709861
"232","Mid Sussex","E07000228","District","Female","20-24 years","5 years","2001",2786,"Estimates - ONS",0,0.0424429853292911
"233","Mid Sussex","E07000228","District","Female","25-29 years","5 years","2001",3398,"Estimates - ONS",0,0.0517664264712603
"234","Mid Sussex","E07000228","District","Female","30-34 years","5 years","2001",4655,"Estimates - ONS",0,0.0709160433265794
"235","Mid Sussex","E07000228","District","Female","35-39 years","5 years","2001",5183,"Estimates - ONS",0,0.0789597964686705
"236","Mid Sussex","E07000228","District","Female","40-44 years","5 years","2001",4802,"Estimates - ONS",0,0.0731554973263661
"237","Mid Sussex","E07000228","District","Female","45-49 years","5 years","2001",4645,"Estimates - ONS",0,0.0707636995170701
"238","Mid Sussex","E07000228","District","Female","5-9 years","5 years","2001",3820,"Estimates - ONS",0,0.0581953352325528
"239","Mid Sussex","E07000228","District","Female","50-54 years","5 years","2001",5067,"Estimates - ONS",0,0.0771926082783626
"240","Mid Sussex","E07000228","District","Female","55-59 years","5 years","2001",4315,"Estimates - ONS",0,0.0657363538032632
"241","Mid Sussex","E07000228","District","Female","60-64 years","5 years","2001",3180,"Estimates - ONS",0,0.0484453314239576
"242","Mid Sussex","E07000228","District","Female","65-69 years","5 years","2001",2944,"Estimates - ONS",0,0.0448500175195381
"243","Mid Sussex","E07000228","District","Female","70-74 years","5 years","2001",2839,"Estimates - ONS",0,0.0432504075196904
"244","Mid Sussex","E07000228","District","Female","75-79 years","5 years","2001",2517,"Estimates - ONS",0,0.038344936853491
"245","Mid Sussex","E07000228","District","Female","80-84 years","5 years","2001",1979,"Estimates - ONS",0,0.0301488399018906
"246","Mid Sussex","E07000228","District","Female","85-89 years","5 years","2001",1402,"Estimates - ONS",0,0.0213586020932039
"247","Mid Sussex","E07000228","District","Female","90+ years","5 years","2001",872,"Estimates - ONS",0,0.013284380189211
"248","Mid Sussex","E07000228","District","Male","0-4 years","5 years","2001",3851,"Estimates - ONS",0,0.0623583133622644
"249","Mid Sussex","E07000228","District","Male","10-14 years","5 years","2001",4523,"Estimates - ONS",0,0.0732398471403588
"250","Mid Sussex","E07000228","District","Male","15-19 years","5 years","2001",4205,"Estimates - ONS",0,0.068090549906082
"251","Mid Sussex","E07000228","District","Male","20-24 years","5 years","2001",2783,"Estimates - ONS",0,0.0450644471792215
"252","Mid Sussex","E07000228","District","Male","25-29 years","5 years","2001",3095,"Estimates - ONS",0,0.0501165878619082
"253","Mid Sussex","E07000228","District","Male","30-34 years","5 years","2001",4213,"Estimates - ONS",0,0.0682200919748688
"254","Mid Sussex","E07000228","District","Male","35-39 years","5 years","2001",5105,"Estimates - ONS",0,0.0826640326446013
